01  CENTRO**01-02 EMBAJADORES**Batería**3**-3.705377**40.4122536**TIRSO DE MOLINA, PLAZA, DE,13
01  CENTRO**01-02 EMBAJADORES**Línea**2**-3.7074735**40.4059686**TOLEDO, RONDA, DE,5
01  CENTRO**01-02 EMBAJADORES**Línea**1**-3.705279**40.4055663**TOLEDO, RONDA, DE,30
01  CENTRO**01-02 EMBAJADORES**Línea**1**-3.6994415**40.4112923**TORRECILLA DEL LEAL, CALLE, DE LA,5
01  CENTRO**01-02 EMBAJADORES**Línea**1**-3.7002603**40.4107614**TRES PECES, CALLE, DE LOS,6
01  CENTRO**01-02 EMBAJADORES**Línea**1**-3.7028415**40.4076979**TRIBULETE, CALLE, DEL,16
01  CENTRO**01-02 EMBAJADORES**Línea**1**-3.7004405**40.4075758**VALENCIA, CALLE, DE,14
01  CENTRO**01-02 EMBAJADORES**Línea**1**-3.6995328**40.4060852**VALENCIA, CALLE, DE,Fte 25
01  CENTRO**01-03 CORTES**Línea**1**-3.6937929**40.411413**ALAMEDA, CALLE, DE LA,14
01  CENTRO**01-03 CORTES**Línea**1**-3.695216**40.4112088**ALMADEN, CALLE, DE,5
01  CENTRO**01-03 CORTES**Línea**1**-3.6984967**40.4125981**AMOR DE DIOS, CALLE, DEL,10
01  CENTRO**01-03 CORTES**Línea**1**-3.6990043**40.4169901**ARLABAN, CALLE, DE,12
01  CENTRO**01-03 CORTES**Línea**1**-3.6962305**40.4109689**ATOCHA, CALLE, DE,95
01  CENTRO**01-03 CORTES**Batería**1**-3.6950036**40.4104382**ATOCHA, CALLE, DE,109
01  CENTRO**01-03 CORTES**Línea**2**-3.7023454**40.4145452**ESPOZ Y MINA, CALLE, DE,40
01  CENTRO**01-03 CORTES**Línea**1**-3.6957383**40.4138877**JESUS, PLAZA, DE,5
01  CENTRO**01-03 CORTES**Línea**1**-3.6967193**40.4172786**JOVELLANOS, CALLE, DE,3
01  CENTRO**01-03 CORTES**Línea**1**-3.6992711**40.4130383**LEON, CALLE, DEL,28
01  CENTRO**01-03 CORTES**Línea**1**-3.69808**40.4138115**LOPE DE VEGA, CALLE, DE,13
